ID,Name,Lat,Lng,Region
1141897,Wasat alQamar Salon For men's shaving,0,0,
523913,خياط نوال مرزوق صقر العتيبي للخياطة النسائية,24.70133,46.78916,Center
891742,مؤسسة خيرات ميم التجارية,29.97191,40.19917,North
523944,مؤسسة دار الاجداد للتجاره,24.58934,46.62599,Center
1219496,شركة يحي صالح اليامي للالمنيوم,24.74362,46.78896,Center
523822,مؤسسة منيره عبدالهادي الرشيد للمقاولات,24.63118,46.7355,Center
746064,مؤسسة الرضا الفضية لتقديم الوجبات,21.32806,39.25202,West
1051216,مؤسسة محمد نويمي بن مفلح العتيبي للتشغيل والصيانة,21.41924,39.82738,West
909190,مؤسسة عصائر المنعش الطازجة للعصيرات,24.53948,39.68221,North
973711,مؤسسة ستات البيت للحلويات,16.96839,42.83431,South
955250,Hasan Taysir bin Ali Al Leif For Contracting Establishment,26.5586,50.00725,East
1123874,marqa yazan Establishment,0,0,
1033615,OHUD MUDAYD FARHAN ALANAZI Establishment,30.98461,41.02313,North
520635,مؤسسة المثلث الماسي لتأجير المعدات,16.97279,42.82917,South
596116,مقهى هنا بيروت لتقديم المشروبات,21.80544,39.1485,West
597568,مؤسسة صالح مرعي محمد الصيعري لخدمات السيارات,24.68094,46.84652,Center
524407,مؤسسة شيمه سالم بن هاشم آل هاشم للتجارة,24.82131,46.76299,Center
755586,مؤسسة عائشه عبيد حمد كوكري التجارية,17.15898,42.62387,South
631817,بوفية شعبيات الأذواق للوجبات السريعة,24.63144,46.74297,Center
1189211,مؤسسة شاهي عز  الاصايل,24.67083,46.84189,
777829,مؤسسة ألوان العروبة لصيانة السيارات,24.82121,46.78915,Center
770728,مؤسسة صالحه نعمى حسين عدوان للمفروشات,20.02659,41.47635,South
919585,محل مزاج صحح التجارية,24.80544,46.79978,Center
524167,مغاسل صالحه ناصر طعيميس المرشدي لغسيل الملابس,24.61749,46.85698,Center
964435,شركة المملكة المتطورة التجارية شركة شخص واحد,0,0,
941700,Froti Grocery For food products Establishment,26.45684,50.12727,East
1139459,مؤسسة محمد عبدالله الصبياني للسباكة والكهرباء,21.26705,39.17723,West
930150,مؤسسة بتول عبدالله البوحسن,25.47034,49.6163,East
523898,مؤسسة ساره ناصر سعد السلبود للالات والمعدات,24.59947,46.7192,Center
892937,مؤسسة طيف الشموخ للتجارة,24.63073,46.70881,Center
524016,ورشة أمنه محمد بن عبدالله قيسي لصيانة السيارات,24.17156,47.35379,Center
922124,مؤسسة عبدالمعين بن ناجي بن عبده البركاتي التجارية,21.5057,39.18334,West
903614,مؤسسة محل حسينه مفرح عيسى مطمي للاسماك,17.71112,42.01248,South
910095,مؤسسة صالون روائع الخصل للحلاقة,26.43401,50.01652,East
523819,مؤسسة مريم بنت خضران بن معصب المطيري للوازم المناسبات,24.56633,46.56457,Center
917181,مؤسسة محمد سعود نازل البلوي,28.39829,36.53346,North
524223,صالون الهلال بلس للحلاقة,24.1897,47.27641,Center
985662,مؤسسة بقالة دوار الربيع للمواد الغذائية,0,0,
523611,مؤسسة سور الغذاء للوجبات السريعة,24.76211,46.78767,Center
840979,مؤسسة نايف علي عبدالله القحطاني للتجارة,18.10405,42.52783,South
1044786,مؤسسة عبدالرحمن محمد ال جابر الغامدي للمقاولات,0,0,
823316,مؤسسة عنود معيوف حمود العنزي للتجارة,28.4365,45.94898,East
522668,مؤسسة ربيع الكنانه لخدمات السيارات,24.5478,46.68632,Center
819363,مؤسسة المذاق البارد لبيع المثلجات,17.74267,41.99215,South
1071717,Establishment batl almalab,21.58835,39.2326,West
724875,مؤسسة عبدالرحمن محمد بن جبران مجرشي التجارية,24.57805,46.70109,Center
965494,مؤسسة بلاد الامتياز للتجارة,24.6698,46.85148,
923019,مؤسسة نوره صالح خليوي الحربي للمقاولات العامة,24.60654,46.73452,Center
523818,مؤسسة مريم بنت خضران بن معصب المطيري للوازم المناسبات,24.55524,46.59115,Center
989406,بوفية نجم عكوة للوجبات السريعة,0,0,
897000,مؤسسة رنا عبدالله عبدالكريم الحصيني للعباءات النسائية,24.62253,46.74333,Center
910993,مؤسسة عزيزه حمد المنهالي لغسيل الملابس,0,0,
903793,عصائر استار جوس لتقديم المشروبات,21.64554,39.22438,West
1044364,MUSAYID KHALAF ALJAMEELI Company,28.43522,45.94845,East
910809,مؤسسة ريفان ابراهيم بوسيلوم,25.35702,49.56916,East
970545,Ladhaidh Sawaf Restaurants For Meals,0,0,
661473,مؤسسة التذوق الافضل للتجارة,24.69858,46.69127,Center
1074267,مؤسسة نوره احمد سويد مجرشي للتجارة,0,0,
732060,مؤسسة بأب الحوائج للمياه,26.58118,50.03656,East
524819,ورشة ريهام احمد بن طيب دارسي للصيانة,18.21814,42.80856,South
1025924,Establishment alsala alghidhaiya almubtakara,24.49739,39.69686,North
1237084,مؤسسة صامولي فلافل,0,0,
